mc_run,regret1,regret2,utility1,utility2,win_rate1,win_rate2
0,4.831098714125682,58.93261321357022,1.154991433456169,4622.45370227001,0.0101,0.9899
1,5.124578932168295,52.73355165710473,1.1185475290024545,4628.652763826475,0.0092,0.9908
2,5.110559093763916,50.21919416830224,0.6756139210265453,4631.167121315278,0.008,0.992
3,4.2943751505689685,66.73995748810285,1.774537809169308,4614.646357995477,0.0118,0.9882
4,4.80635809793521,62.73812725067364,1.0540698518920366,4618.648188232906,0.0103,0.9897
5,5.167540024547609,53.83594262815495,0.9727719111875975,4627.550372855425,0.0093,0.9907
6,4.5250514520476255,51.835027509442625,0.5214281714146778,4629.551287974137,0.0073,0.9927
7,5.960099377114643,58.73629701326172,1.6595993412768255,4622.650018470318,0.0112,0.9888
8,4.868140513404424,61.38656571766205,1.454952800882892,4619.999749765918,0.0102,0.9898
9,5.149161803036175,55.10444730718973,1.2110589787695751,4626.28186817639,0.0096,0.9904
