mc_run,regret1,regret2,utility1,utility2,win_rate1,win_rate2
0,269.3181818180501,178.59090909090648,5889.09090909084,112.54545454545459,0.886,0.114
1,317.4090909089591,172.66666666666242,5869.636363636292,141.78787878787904,0.8775,0.1225
2,290.40909090896,175.31818181817962,5860.045454545385,90.45454545454552,0.891,0.109
3,293.04545454532126,170.03030303030698,5868.545454545386,124.33333333333326,0.887,0.113
4,267.31818181804465,156.4696969696958,5857.681818181755,105.21212121212132,0.896,0.104
5,345.318181818051,163.54545454545075,5851.272727272655,133.4545454545456,0.877,0.123
6,325.49999999986267,162.7727272727237,5861.545454545389,135.45454545454564,0.8825,0.1175
7,299.4090909089646,162.681818181814,5924.227272727195,145.09090909090943,0.8835,0.1165
8,259.27272727259515,158.0151515151489,5891.18181818175,126.57575757575763,0.8895,0.1105
9,285.86363636349597,165.59090909090656,5859.818181818122,120.09090909090918,0.8865,0.1135
10,367.0909090907753,147.12121212121025,5807.227272727205,120.69696969696984,0.8825,0.1175
11,403.27272727259606,148.96969696970098,5798.090909090837,173.93939393939462,0.8665,0.1335
12,273.4999999998781,180.30303030302815,5867.409090909012,98.15151515151528,0.893,0.107
13,269.4545454544086,164.7727272727247,5888.9545454544805,122.54545454545463,0.8875,0.1125
14,323.99999999986994,161.83333333332857,5853.499999999928,156.84848484848547,0.87,0.13
15,309.68181818167795,176.0303030302989,5848.727272727212,134.60606060606074,0.875,0.125
16,311.4090909089482,152.6363636363625,5851.772727272668,98.27272727272734,0.8965,0.1035
17,350.45454545441135,148.2575757575713,5860.454545454476,158.69696969697029,0.877,0.123
18,412.1818181816816,180.24242424242885,5784.409090909025,165.93939393939468,0.8575,0.1425
19,312.6818181816816,150.78787878787605,5845.727272727208,132.84848484848501,0.8845,0.1155
20,311.59090909077713,154.393939393943,5857.954545454476,131.42424242424246,0.8825,0.1175
21,306.49999999986176,173.54545454545135,5880.54545454539,120.18181818181816,0.887,0.113
22,352.86363636349506,142.4545454545486,5794.409090909032,124.45454545454547,0.8835,0.1165
23,344.90909090895457,168.45454545454936,5834.1818181817525,137.00000000000028,0.8765,0.1235
24,333.36363636350325,156.86363636363376,5818.68181818175,129.63636363636385,0.883,0.117
25,303.6818181816807,182.2424242424201,5881.7727272726615,128.12121212121212,0.8815,0.1185
26,349.6363636363849,173.75757575757981,5845.636363636301,143.51515151515193,0.874,0.126
27,278.13636363629485,162.87878787879123,5835.681818181754,119.1212121212123,0.883,0.117
28,283.3181818180583,195.24242424242894,5949.863636363555,147.48484848484898,0.8755,0.1245
29,311.9545454544186,185.87878787879228,5878.272727272651,142.30303030303068,0.875,0.125
30,336.9090909089591,155.84848484848845,5781.727272727205,134.1515151515153,0.871,0.129
31,296.7727272725888,161.8181818181798,5842.545454545393,109.00000000000003,0.8885,0.1115
32,293.6818181816816,172.99999999999608,5867.9090909090255,134.90909090909105,0.88,0.12
33,269.9090909089591,147.80303030302875,5877.363636363568,115.24242424242428,0.891,0.109
34,387.6363636362248,159.66666666667052,5802.590909090844,149.06060606060637,0.8705,0.1295
35,356.63636363622663,150.09090909091216,5792.227272727208,121.36363636363646,0.879,0.121
36,372.6818181816752,149.66666666666387,5758.681818181761,136.15151515151544,0.874,0.126
37,245.45454545441135,172.54545454545217,5912.954545454479,116.27272727272727,0.89,0.11
38,285.77272727259333,172.48484848484608,5906.045454545385,110.87878787878796,0.8945,0.1055
39,328.7727272725897,168.75757575757228,5858.272727272662,128.51515151515167,0.881,0.119
40,317.40909090895093,163.45454545454257,5783.727272727214,131.63636363636377,0.872,0.128
41,344.68181818167795,154.92424242423982,5813.727272727211,124.48484848484856,0.882,0.118
42,320.3636363634978,157.18181818182185,5887.3636363635715,132.45454545454552,0.892,0.108
43,357.36363636350325,144.27272727273058,5807.409090909023,155.9090909090916,0.871,0.129
44,408.22727272713473,161.31818181817914,5739.045454545391,130.3636363636366,0.8715,0.1285
45,350.0454545453258,177.48484848484452,5817.909090909017,131.24242424242436,0.875,0.125
46,395.36363636349415,166.24242424242814,5820.318181818119,160.66666666666745,0.867,0.133
47,312.86363636349233,167.0757575757555,5864.636363636306,114.24242424242428,0.887,0.113
48,380.8636363635096,175.1212121212164,5818.909090909015,148.15151515151553,0.868,0.132
49,323.9090909089555,168.40909090908767,5853.590909090843,130.0909090909091,0.8805,0.1195
50,323.72727272713655,140.7727272727257,5807.636363636299,123.36363636363652,0.881,0.119
51,326.77272727258605,155.1212121212098,5812.545454545396,117.33333333333343,0.885,0.115
52,378.5454545453167,156.62121212120803,5811.681818181753,150.60606060606096,0.866,0.134
53,359.1363636362321,159.49999999999773,5783.363636363568,121.0000000000001,0.8755,0.1245
54,288.1363636362257,180.34848484848098,5882.999999999936,132.0606060606061,0.8805,0.1195
55,378.2727272725915,150.68181818181557,5802.409090909024,130.90909090909105,0.8825,0.1175
56,340.45454545441316,181.9090909090872,5822.727272727204,125.72727272727272,0.8735,0.1265
