mc_run,regret1,regret2,utility1,utility2,win_rate1,win_rate2
0,46.06060606057031,378.7878787878417,1203.6868686868722,1030.7575757575726,0.491,0.509
1,29.848484848462476,458.18181818178016,1165.4545454545384,871.8181818181837,0.536,0.464
2,31.616161616187128,452.8282828283167,1243.5353535353559,975.0505050505031,0.514,0.486
3,30.808080808055593,446.9696969696598,1168.383838383834,873.1313131313146,0.5175,0.4825
4,23.83838383836087,437.97979797976177,1144.242424242419,860.9090909090926,0.526,0.474
5,28.23232323230036,466.2121212120818,1159.9999999999939,851.4141414141453,0.5345,0.4655
6,10.555555555541105,470.50505050501954,1089.9999999999898,776.0606060606052,0.524,0.476
7,14.797979797949438,455.3030303029941,1201.7171717171716,894.8484848484838,0.5145,0.4855
8,45.151515151540934,397.8787878787508,1204.949494949496,1012.0202020201988,0.509,0.491
9,35.202020202039876,394.39393939397246,1260.555555555564,1019.7474747474732,0.517,0.483
10,13.585858585842288,447.8787878787575,1050.9090909090842,782.4242424242418,0.5175,0.4825
11,34.09090909088809,394.24242424239003,1116.6666666666604,897.5757575757576,0.502,0.498
12,42.32323232320573,407.1212121211786,1167.828282828279,944.797979797976,0.508,0.492
13,27.02020202018116,416.212121212085,1132.5757575757507,886.2121212121227,0.507,0.493
14,28.686868686838352,427.02020202016524,1197.0202020202012,960.2525252525229,0.509,0.491
15,39.646464646434424,418.0303030302658,1174.040404040404,962.525252525251,0.503,0.497
16,10.353535353513735,456.71717171713703,1164.7979797979729,825.9090909090919,0.5475,0.4525
17,38.23232323229308,404.8989898989537,1196.3131313131298,966.111111111109,0.517,0.483
18,18.989898989883613,465.4545454545121,1116.5656565656454,795.9595959595968,0.53,0.47
19,18.585858585827054,433.6868686868319,1204.6464646464651,939.0909090909075,0.5165,0.4835
20,25.303030303013884,401.56565656562634,1083.7373737373648,812.1212121212122,0.5245,0.4755
21,21.969696969679262,428.8888888888573,1103.3333333333253,815.5555555555554,0.54,0.46
22,31.212121212142165,408.9898989899326,1260.1010101010174,1008.7878787878768,0.52,0.48
23,14.696969696953374,448.48484848481746,1100.3535353535262,780.7575757575759,0.5385,0.4615
24,22.272727272748398,417.9292929293281,1241.5656565656627,999.0404040404005,0.5015,0.4985
25,27.474747474731203,417.77777777774645,1104.5454545454445,823.8383838383836,0.529,0.471
26,15.757575757598488,463.43434343437843,1251.7171717171766,951.9191919191885,0.52,0.48
27,18.78787878786011,443.8383838383503,1116.7676767676692,826.7676767676772,0.523,0.477
28,36.76767676766258,437.3232323232038,1062.3737373737272,795.1010101010075,0.528,0.472
29,36.96969696971587,425.0505050505394,1277.3737373737472,1029.4949494949478,0.5125,0.4875
30,9.84848484846134,461.0101010100675,1135.2525252525218,825.8585858585855,0.533,0.467
31,33.333333333312794,436.3636363636007,1105.4040404040343,846.6161616161636,0.5145,0.4855
32,39.79797979799446,455.35353535357024,1312.1212121212275,1018.585858585857,0.5255,0.4745
33,44.090909090932655,400.75757575753653,1207.2222222222256,1010.5555555555544,0.504,0.496
34,41.313131313152326,407.3737373737008,1231.8181818181884,1005.3535353535315,0.5005,0.4995
35,12.929292929268968,477.47474747471176,1132.8787878787846,827.4242424242433,0.5245,0.4755
36,18.131313131292018,438.0808080807733,1137.5757575757514,848.080808080809,0.535,0.465
37,49.343434343456465,389.5454545454902,1252.8787878787941,1052.8787878787846,0.5035,0.4965
38,27.828282828297688,477.92929292932683,1310.35353535355,1010.1515151515149,0.5225,0.4775
39,44.343434343404624,419.7979797979458,1169.3434343434335,948.0303030302989,0.5015,0.4985
40,51.11111111113087,428.78787878791366,1255.9595959596047,1018.4848484848461,0.516,0.484
41,20.707070707042476,448.28282828279134,1179.8989898989885,914.949494949494,0.507,0.493
42,25.50505050502261,427.72727272723864,1170.858585858584,906.5151515151492,0.5175,0.4825
43,18.535353535338572,435.50505050501783,1100.40404040403,824.848484848485,0.5175,0.4825
44,45.30303030300911,383.13131313127985,1113.232323232317,922.8282828282812,0.5055,0.4945
45,36.46464646463164,413.2323232322917,1070.8080808080706,812.1212121212129,0.5145,0.4855
46,38.53535353537518,416.414141414176,1253.1818181818246,1023.1818181818159,0.512,0.488
47,42.525252525221276,414.8484848484487,1189.5454545454545,956.5151515151493,0.504,0.496
48,19.44444444441706,471.21212121208384,1191.4141414141384,874.3434343434348,0.5275,0.4725
49,21.464646464624366,447.97979797976166,1142.3737373737317,844.898989898992,0.5265,0.4735
50,16.717171717156134,438.68686868683824,1079.5959595959507,793.0303030303024,0.5275,0.4725
51,35.40404040401063,384.3434343434004,1201.9696969696952,975.7070707070669,0.5115,0.4885
52,17.626262626281232,406.7171717172064,1279.7474747474846,1010.2525252525222,0.514,0.486
53,26.8181818182004,442.9797979798327,1282.2727272727373,1014.3939393939374,0.5255,0.4745
54,24.848484848447697,420.5050505050134,1211.464646464652,986.9191919191888,0.5045,0.4955
55,19.797979797958988,463.43434343430613,1145.4545454545382,853.8383838383857,0.527,0.473
56,44.04040404042689,420.6060606060237,1231.1111111111159,992.8282828282793,0.5205,0.4795
57,32.27272727269337,490.1010101009715,1200.1515151515177,915.2020202020187,0.5225,0.4775
58,39.646464646443974,417.67676767673345,1101.9191919191858,862.8282828282835,0.512,0.488
59,29.292929292913186,428.1818181817832,1130.3030303030187,843.131313131315,0.5335,0.4665
60,27.373737373711947,443.282828282792,1175.353535353531,896.9696969696965,0.522,0.478
61,28.484848484819622,429.8989898989561,1186.61616161616,928.7373737373699,0.5185,0.4815
62,15.606060606048914,460.7070707070609,1050.303030303019,750.5050505050503,0.5295,0.4705
63,23.232323232299223,480.3030303029941,1130.7070707070673,820.0000000000016,0.5275,0.4725
64,30.30303030301434,428.03030303027026,1088.6363636363537,808.6363636363651,0.514,0.486
65,25.85858585856454,441.91919191915633,1141.1616161616093,853.0808080808093,0.5205,0.4795
66,19.848484848454518,447.1212121211744,1217.1717171717157,939.0909090909078,0.522,0.478
67,39.44444444445753,411.3636363636715,1296.3131313131476,1046.414141414139,0.522,0.478
68,30.40404040402018,450.80808080805,1072.6262626262583,813.4343434343415,0.5135,0.4865
69,25.202020201990535,439.74747474744026,1173.989898989899,915.7070707070677,0.5125,0.4875
70,27.42424242422817,417.2727272726979,1066.4141414141313,811.2626262626247,0.519,0.481
71,19.292929292906365,433.28282828279214,1158.6868686868631,865.2525252525269,0.539,0.461
72,29.797979797953303,453.63636363632634,1197.3232323232278,883.7878787878795,0.539,0.461
73,50.50505050501806,411.6666666666299,1193.2323232323238,979.4949494949469,0.509,0.491
74,33.08080808081763,440.3535353535726,1327.7272727272934,1061.0606060606028,0.5085,0.4915
75,34.646464646439426,412.2727272726928,1147.9292929292894,894.3939393939389,0.517,0.483
76,25.757575757550057,456.3636363635993,1154.3434343434312,851.7171717171738,0.5245,0.4755
77,34.59595959593457,416.5151515151157,1153.282828282824,915.6060606060602,0.512,0.488
78,12.373737373721724,458.38383838380787,1097.3737373737279,774.7474747474741,0.533,0.467
79,35.606060606027995,432.626262626227,1202.8282828282838,941.2121212121184,0.5165,0.4835
80,32.57575757577342,447.6262626262967,1304.393939393953,1020.2525252525243,0.5165,0.4835
81,24.090909090883997,477.47474747470824,1193.484848484843,868.4343434343457,0.549,0.451
82,26.31313131311572,395.1010101009783,1064.696969696961,847.9292929292931,0.4995,0.5005
83,33.43434343431477,463.1313131312752,1172.8282828282813,888.7878787878794,0.517,0.483
84,22.323232323243474,439.59595959599415,1337.2727272727461,1027.8787878787864,0.523,0.477
85,32.12121212119564,413.28282828279384,1129.2424242424129,862.9797979797991,0.5275,0.4725
86,44.74747474749279,395.65656565660197,1261.1111111111215,1059.2929292929257,0.502,0.498
87,44.494949494926004,383.5353535353214,1127.8282828282781,929.141414141411,0.5045,0.4955
88,32.12121212123043,415.1515151515496,1271.7171717171818,1012.3232323232298,0.519,0.481
89,38.33333333331052,441.46464646461163,1099.6969696969657,837.2727272727286,0.522,0.478
90,25.35353535351601,415.90909090905984,1070.2525252525204,832.7777777777769,0.511,0.489
91,28.080808080780116,426.8181818181463,1200.4545454545423,930.7575757575737,0.523,0.477
92,5.40404040402359,458.5858585858291,1075.3535353535285,760.4040404040395,0.526,0.474
93,29.343434343448052,465.5050505050856,1302.7777777777933,1021.7676767676753,0.5085,0.4915
94,23.585858585836604,427.0202020201665,1167.1212121212047,886.0101010101013,0.5265,0.4735
95,33.83838383836428,467.37373737370194,1120.808080808073,824.4444444444457,0.526,0.474
96,19.09090909092788,448.58585858585127,1002.7272727272633,746.5656565656565,0.5145,0.4855
97,36.81818181820245,423.68686868690384,1256.9191919191996,1019.9494949494922,0.5035,0.4965
98,29.6969696969511,418.9898989898637,1141.9191919191821,860.8080808080825,0.53,0.47
99,17.525252525273117,433.43434343430613,1237.0202020202084,977.5252525252495,0.5135,0.4865
