mc_run,regret1,regret2,utility1,utility2,win_rate1,win_rate2
0,73.5353535353687,64.44444444442547,527.227272727237,518.9949494949112,0.5044,0.4956
1,86.83333333330756,80.43939393934602,552.0404040403832,541.8888888888671,0.505,0.495
2,81.73232323233913,63.79292929291444,517.7929292928922,520.813131313091,0.5047,0.4953
3,70.94444444445753,64.19191919190496,527.3434343433968,517.7272727272313,0.5084,0.4916
4,80.14141414142478,68.68686868685006,528.3636363636015,524.8282828282437,0.5068,0.4932
5,68.40404040402154,69.06060606059543,519.9898989898591,500.7878787878399,0.51,0.49
6,75.23737373735548,64.59090909089934,513.0656565656163,505.98484848480837,0.4996,0.5004
7,76.95959595961187,61.34848484846793,517.3333333332944,514.59595959592,0.5004,0.4996
8,68.28282828284,64.46969696967585,528.1313131312763,513.5959595959198,0.5121,0.4879
9,88.68686868684313,67.64141414136702,548.7020202019982,551.6818181818007,0.5062,0.4938
