mc_run,regret1,regret2,utility1,utility2,win_rate1,win_rate2
0,330.1616161615641,77.6666666666656,794.5656565656247,983.4242424242079,0.4825,0.5175
1,320.7979797979307,98.14141414141704,805.3232323231983,959.5555555555211,0.49,0.51
2,329.15151515145624,87.5353535353479,805.2727272726962,981.3131313130957,0.4846,0.5154
3,318.43434343431215,84.7373737373872,781.5050505050168,953.6868686868319,0.4824,0.5176
4,331.33333333326857,83.3333333333203,812.7272727272428,996.7272727272414,0.4831,0.5169
5,321.21212121206736,94.11111111110256,807.6969696969384,976.2525252524923,0.4878,0.5122
6,332.2323232324694,80.21212121225687,831.2020202019902,1020.9797979797637,0.4855,0.5145
7,319.69696969692836,86.26262626263076,795.2727272726927,970.3434343433979,0.4831,0.5169
8,311.6767676767329,91.16161616162856,794.6262626262269,950.7171717171342,0.4873,0.5127
9,328.3737373736702,92.47474747472336,817.565656565628,993.4646464646202,0.4852,0.5148
